sample	tcell_fraction_float
NWD405800	0.163237458
NWD406304	0.141279768
NWD406544	0.105208207
NWD242656	0.087749473
NWD673127	0.112834857
NWD867212	0.284562211
NWD880876	0.147308296
NWD837865	0.163845105
NWD587441	0.01639984
NWD283063	0.047006861
NWD711318	0.085957339
NWD655783	0.194129405
NWD757368	0.164455676
NWD178843	0.149641274
NWD762320	0.033668112
NWD598965	-2.22E-16
NWD790673	0.224190387
NWD993685	0.121335884
NWD492867	0.025751074
NWD630457	0.133803952
NWD787421	0.093192012
NWD202786	0.159257622
NWD206377	0.126342651
NWD488590	0.067540541
NWD909054	0.118426502
NWD140330	0.044637238
NWD118325	0.076105943
NWD807190	0.086324769
NWD511824	0.113282307
NWD997805	0.154678275
NWD186183	0.208729492
NWD900129	0.030111231
NWD782041	0.084244782
NWD638283	0.181851523
NWD888893	0.000314345
NWD800208	0.050057197
NWD627763	0.123956848
NWD645924	0.206697799
NWD571000	0.117812308
NWD231998	0.146741485
NWD984389	0.220041352
NWD579374	0.19713242
NWD670167	0.114955286
NWD200112	0.057763473
NWD452536	0
NWD842806	0.247094155
NWD399329	0.021995915
NWD830186	0.131258417
NWD136009	0.11652796
NWD806687	0.047776482
NWD439150	0.174888862
NWD359756	0.160338402
NWD400236	0.057220275
NWD550586	0.222674903
NWD364664	0.145018316
NWD776452	0.064507665
NWD354566	0.200135535
NWD741605	0.124834151
NWD547666	0.057118381
NWD481925	0.072743016
NWD344970	0.157339135
NWD233163	0.216259914
NWD326550	0.029896681
NWD950397	0.179524295
NWD463714	0.062811235
NWD837947	0.067995429
NWD726496	0.123885031
NWD525655	0.094138581
NWD229507	0.221177037
NWD438001	0.092583962
NWD652499	0.047109591
NWD602758	0.045458564
NWD791973	0.089704012
NWD309590	0.166568299
NWD254583	0.145140233
NWD493178	0.12473151
NWD343487	0.078998593
NWD509551	0.1024985
NWD418343	0.048542449
NWD853210	0.162048199
NWD105093	0.076279584
NWD345727	0.120836036
NWD685251	0.135046401
NWD687786	0.19001008
NWD738707	0.113929687
NWD148695	0.1047666
NWD872399	0.100842417
NWD955897	0.126716678
NWD594512	0.035591604
NWD740129	0.078390112
NWD332827	0.13048853
NWD344449	0.132548144
NWD790640	0.167085308
NWD489229	0.178784904
NWD966411	0.031622315
NWD628086	0.148762825
NWD843857	0.043394777
NWD198874	0.032466428
NWD558547	0.112732306
NWD868768	0.119530028
NWD931389	0.12996495
NWD259471	0.111040705
NWD487248	0.227623513
NWD925516	0.103316942
NWD106979	0.107934059
NWD823005	0.193320987
NWD972697	0
NWD962984	0.140404819
NWD894851	0.094523621
NWD690496	0.03639982
NWD114877	0.248020843
NWD724459	0.186699029
NWD860308	0.049988753
NWD528359	0.138833892
NWD103216	0.086428799
NWD768441	0.085432356
NWD828590	0.189187916
NWD838771	0.203623472
NWD335913	0.110308342
NWD444972	0.207572924
NWD285124	0.229928008
NWD257014	0
NWD377952	0.081496088
NWD851141	0.153604096
NWD153002	0.103328882
NWD279392	0.101099363
NWD102758	0
NWD411602	0.212151975
NWD909601	0
NWD358305	0.018402864
NWD195505	0.027821702
NWD888466	0.282958613
NWD364067	0.193265201
NWD614389	0.030179871
NWD282522	0.084058207
NWD302919	0.007845655
NWD520507	0.12238784
NWD758468	0.063702954
NWD304197	0.056031669
NWD880574	0.359588439
NWD299574	0.185961733
NWD251680	0.155945574
NWD288564	0.152355686
NWD956650	0.055070999
NWD835971	0.082482209
NWD747823	0.081881613
NWD698489	0.241719536
NWD911011	0.09338427
NWD279860	0
NWD290978	0.17114013
NWD786891	0.012326049
NWD239074	0.048444015
NWD179448	0.153836603
NWD192542	0.236163482
NWD128760	0.024328955
NWD960216	0.167842334
NWD657705	0.056598115
NWD823420	0.072988072
NWD821170	0.144703731
NWD555339	0.019235974
NWD612841	0.134579306
NWD981800	0.070030299
NWD755737	0.156143089
NWD761693	0.130702975
NWD627563	0.115956059
NWD766521	0.144089627
NWD396767	0.0038587
NWD948572	0.140052205
NWD725118	0.07044482
NWD876007	0.185037594
NWD577249	0.125460478
NWD814510	0.17742364
NWD569751	0.046611916
NWD350537	0.035414873
NWD794424	0.144353552
NWD523505	0.015317594
NWD359283	0.103705429
NWD814599	0.102990953
NWD919950	0.157404636
NWD132075	0.215122122
NWD271942	0.112622639
NWD632606	0.154136387
NWD146027	0.211906094
NWD104521	0.053021668
NWD161674	0.097201963
NWD769757	0.016410917
NWD451893	0.274295048
NWD389571	0.064665011
NWD619398	0
NWD202631	0.180167907
NWD306792	0.16833641
NWD162714	0.089114762
NWD794312	0.227530638
NWD243001	0.168400549
NWD980862	0.183307524
NWD508126	0.053393162
NWD642927	0.092605395
NWD379420	0.17315489
NWD145283	0.147526497
NWD869937	0.255707163
NWD420698	0.172793976
NWD744438	0.116036002
NWD753360	0.123397196
NWD272067	0.230691559
NWD375684	0.192922814
NWD241374	0.028817974
NWD138927	0.117710091
NWD706453	0.180475566
NWD665490	0.192544841
NWD539048	0.134078539
NWD728222	0.08804457
NWD900388	0.270982698
NWD805529	0.088343884
NWD254028	0.148675863
NWD522272	0.009106243
NWD928042	0.078968372
NWD760536	0.098665346
NWD403267	0.105301432
NWD587764	0.078580684
NWD913897	0.071378501
NWD769346	0.0245361
NWD238519	0.086687423
NWD498610	0.102513668
NWD586423	0.112219777
NWD301812	0.090680325
NWD639540	0.147984144
NWD438782	0.130576471
NWD874512	0.100199642
NWD788821	0.205230013
NWD698236	0.206789279
NWD307416	2.22E-16
NWD740525	0.128683301
NWD847501	0.107191119
NWD178787	0.106514038
NWD314330	0.076918792
NWD962329	0.073152075
NWD405509	0.250504171
NWD243989	0.146916065
NWD763023	0.194759612
NWD390858	0.188377782
NWD361124	0.1691063
NWD444218	0.153198351
NWD353849	0.116203242
NWD371771	0.180419615
NWD553147	0.118205138
NWD337336	0.139023465
NWD995975	0.10019241
NWD365278	0.107715006
NWD121177	0
NWD593643	0.108038709
NWD216058	0.071269438
NWD164842	0.1965995
